benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0017,cookierun_kingdom_benefits.csv,GAME_EVENT_STORE,GALAXY_STORE,(더미) 갤럭시 스토어 첫 결제 즉시 5000원 할인,GALAXY_STORE,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,5000.0,KRW,100,5000.0,,FIRST_PURCHASE,True,False,NONE,STORE_COUPON,NEW_OR_RETURNING_USER,NONE,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,2026-08-01 ~ 2026-08-31 | 최근 180일 내 갤럭시 스토어 결제 이력 없는 유저 대상 즉시 적용
BNF_0018,cookierun_kingdom_benefits.csv,GAME_EVENT_STORE,ONE_STORE,(더미) 원스토어 Day 20% 즉시 할인 쿠폰,ONE_STORE,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,20.0,PERCENT,0,10000.0,,GENERAL,False,False,NONE,STORE_COUPON,ALL_USERS,NONE,COUPON_ISSUE,False,False,DIRECT_PAY,False,,2026-08-15,2026-08-15,,2026-08-15 (매월 15일 당일) | 원데이 당일 다운로드 시 즉시 사용 가능한 인앱 할인 쿠폰
BNF_0019,cookierun_kingdom_benefits.csv,GAME_EVENT_E_PAYMENT,KAKAO_PAY,(더미) 카카오페이 3만원 이상 결제 시 3000원 즉시 할인,ALL,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,3000.0,KRW,30000,0.0,,GENERAL,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,INSTANT_DISCOUNT,True,False,DIRECT_PAY,False,,2026-08-01,2026-08-14,,2026-08-01 ~ 2026-08-14 | 원스토어/갤스 결제창에서 카카오페이 선택 시 선착순 즉시 차감
BNF_0020,cookierun_kingdom_benefits.csv,GAME_EVENT_CARD,KB_KOOKMIN_CARD,(더미) KB국민카드 결제 10% 청구 할인,ALL,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,5000.0,KRW,0,5000.0,,GENERAL,False,False,CARD_ONLY,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,BILL_DISCOUNT,False,False,DIRECT_PAY,False,,2026-08-05,2026-08-20,,2026-08-05 ~ 2026-08-20 | 인앱 결제 시 KB국민 신용/체크카드 결제 시 청구서 차감
BNF_0021,cookierun_kingdom_benefits.csv,GAME_EVENT_STORE,GOOGLE_PLAY_STORE,(더미) 구글 플레이 3000원 인앱 교환 즉시 적용,GOOGLE_PLAY,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,3000.0,KRW,0,0.0,,GENERAL,False,False,NONE,STORE_COUPON,ALL_USERS,NONE,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,,,,상시 (유효기간 발급 후 14일) | Google Play Points 150pt로 즉시 교환 후 결제 시 차감
BNF_0022,cookierun_kingdom_benefits.csv,GAME_EVENT_E_PAYMENT,TOSS_PAY,(더미) 토스페이 첫 결제 2000원 즉시 할인,ALL,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,2000.0,KRW,0,0.0,,FIRST_PURCHASE,True,False,NONE,PAYMENT_PG,NEW_OR_RETURNING_USER,NONE,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,2026-08-01 ~ 2026-08-31 | 토스페이로 인앱 상품 결제 시 생애 첫 결제 조건으로 즉시 차감
BNF_0023,cookierun_kingdom_benefits.csv,GAME_EVENT_E_PAYMENT,GALAXY_STORE_X_KAKAO_PAY,(더미) 갤럭시 스토어 카카오페이 10% 즉시 페이백,GALAXY_STORE,COOKIERUN_KINGDOM,IN_APP,REWARD,10.0,PERCENT,0,10000.0,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,2026-08-10,2026-08-17,,2026-08-10 ~ 2026-08-17 | 결제 완료 즉시 삼성 전자포인트로 자동 적립
BNF_0024,cookierun_kingdom_benefits.csv,GAME_EVENT_STORE,ONE_STORE,(더미) 원스토어 주말 한정 30% 즉시 할인,ONE_STORE,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,5000.0,KRW,0,15000.0,,PRE_REGISTRATION,False,True,NONE,STORE_COUPON,ALL_USERS,NONE,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,2026-08-08,2026-08-09,,2026-08-08 ~ 2026-08-09 (주말) | 주말 이벤트 페이지 응모 즉시 발급 및 즉시 결제 적용
BNF_0025,cookierun_kingdom_benefits.csv,GAME_EVENT_CARD,SHINHAN_CARD,(더미) 신한 마이신한포인트 100% 즉시 차감 결제,ALL,COOKIERUN_KINGDOM,IN_APP,DISCOUNT,100.0,PERCENT,0,0.0,,GENERAL,False,False,POINT_ONLY,CARD_ISSUER,ALL_USERS,VOUCHER_EXCLUDED,INSTANT_DISCOUNT,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,2026-08-01 ~ 2026-08-31 | 결제창에서 보유 마이신한포인트 선택 시 결제 금액 즉시 차감
BNF_0026,cookierun_kingdom_benefits.csv,GAME_EVENT_E_PAYMENT,NAVER_PAY,(더미) 네이버페이 포인트 결제 시 3% 즉시 적립,ALL,COOKIERUN_KINGDOM,IN_APP,REWARD,3.0,PERCENT,0,3000.0,,GENERAL,False,False,POINT_ONLY,PAYMENT_PG,ALL_USERS,NONE,POINT_REWARD,False,False,DIRECT_PAY,False,,2026-08-01,2026-08-31,,2026-08-01 ~ 2026-08-31 | 네이버페이 머니/포인트 결제 시 즉시 네이버페이 포인트 적립
