benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text,content_hash,crawled_at,updated_at,is_active
BNF_EPAY_PAYCO_db31907a,epay_payco,REWARD_E_PAY,PAYCO,PAYCO 앱 충전 포인트 결제 리워드,ALL,ALL,IN_APP,REWARD,1.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.payco.com/point/reward.nhn,"페이코 앱을 통해 충전 포인트(포인트카드)로 결제 시, 온라인ㆍ오프라인 결제금액의 1%가 PAYCO 포인트로 적립됩니다. 충전 포인트로 실 결제(페이코 할인쿠폰/식권 등의 결제금액을 제외)한 금액만 리워드 적립 대상입니다. 포인트 적립일 : 결제 완료(취소 발생시 취소발생일 기준)된 달의 다음달 25일에 일괄 지급 됩니다. 일부 업종은 리워드 혜택에서 제외됩니다. (제외 업종 : 대학(대학원) 등록금, 상품권/기프티콘/선불권 등 유가증권 구매(충전)금액, 4대 보험료, 통신비, 보험료, 제세공과금(아파트 관리비, 도시가스, 전기요금 등), 해외, 교통, PAYCO 투자, 식권, 일부 별도 행사 진행 가맹점 등)",,,,
BNF_EPAY_PAYCO_4e113777,epay_payco,REWARD_E_PAY,PAYCO,PAYCO VISA 컨택리스 결제 리워드,ALL,ALL,IN_APP,REWARD,0.3,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.payco.com/point/reward.nhn,"VISA 컨택리스 결제 (VISA 터치결제) 는 0.3% 적립이 적용됩니다.(실물카드와 동일) 포인트 적립일 : 결제 완료(취소 발생시 취소발생일 기준)된 달의 다음달 25일에 일괄 지급 됩니다. 일부 업종은 리워드 혜택에서 제외됩니다. (제외 업종 : 대학(대학원) 등록금, 상품권/기프티콘/선불권 등 유가증권 구매(충전)금액, 4대 보험료, 통신비, 보험료, 제세공과금(아파트 관리비, 도시가스, 전기요금 등), 해외, 교통, PAYCO 투자, 식권, 일부 별도 행사 진행 가맹점 등)",,,,
BNF_EPAY_PAYCO_1ba301ce,epay_payco,REWARD_E_PAY,PAYCO,PAYCO 포인트 실물카드 결제 리워드,ALL,ALL,OFFLINE,REWARD,0.3,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,VOUCHER_EXCLUDED,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://www.payco.com/point/reward.nhn,"PAYCO 포인트 실물카드로 국내 오프라인 결제 시, 충전 포인트 결제금액의 0.3%가 PAYCO 포인트로 적립됩니다. PAYCO 포인트 실물카드를 타사 간편결제(네이버페이, 카카오페이, KB페이 등)에 등록하여 결제할 경우에는 리워드가 적용되지 않습니다. 해외 결제는 리워드 혜택에서 제외됩니다. 포인트 적립일 : 결제 완료(취소 발생시 취소발생일 기준)된 달의 다음달 25일에 일괄 지급 됩니다. 일부 업종은 리워드 혜택에서 제외됩니다. (제외 업종 : 대학(대학원) 등록금, 상품권/기프티콘/선불권 등 유가증권 구매(충전)금액, 4대 보험료, 통신비, 보험료, 제세공과금(아파트 관리비, 도시가스, 전기요금 등), 해외, 교통, PAYCO 투자, 식권, 일부 별도 행사 진행 가맹점 등)",,,,
BNF_EPAY_NAVERPAY_e41434b3,epay_naverpay,REWARD_E_PAY,NAVER_PAY,네이버페이 기본 구매 적립,ALL,ALL,ONLINE,REWARD,1.0,PERCENT,0,,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,NONE,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://campaign2.naver.com/moneypay/,네이버페이 결제하면 최대 1% 적립됩니다. 일부 가맹점은 적립율이 다릅니다. 게임 결제 적립 제외에 대한 명시적 언급이 없습니다.,,,,
BNF_EPAY_NAVERPAY_d37e1045,epay_naverpay,REWARD_E_PAY,NAVER_PAY,네이버페이 머니 결제 추가 적립,ALL,ALL,ONLINE,REWARD,1.5,PERCENT,0,2000000,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,NONE,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://campaign2.naver.com/moneypay/,머니로 결제하면 최대 1.5% 더 적립됩니다. 머니 결제 적립은 월간 최대 200만 포인트(통장 결제 추가 적립 포함)입니다. 게임 결제 적립 제외에 대한 명시적 언급이 없습니다.,,,,
BNF_EPAY_NAVERPAY_7b112ad0,epay_naverpay,REWARD_E_PAY,NAVER_PAY,네이버페이 제휴통장 결제 추가 적립,ALL,ALL,ONLINE,REWARD,0.5,PERCENT,0,2000000,,GENERAL,FALSE,FALSE,NONE,PAYMENT_E_PAY,ALL_USERS,NONE,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,FALSE,,,,https://campaign2.naver.com/moneypay/,Npay 머니 통장 또는 미래에셋증권 CMA-RP 네이버통장으로 결제하면 최대 0.5% 더 적립됩니다. 머니 결제 적립은 월간 최대 200만 포인트(통장 결제 추가 적립 포함)입니다. 게임 결제 적립 제외에 대한 명시적 언급이 없습니다.,,,,
BNF_EPAY_SAMSUNGPAY_8e2674df,epay_samsungpay,DISCOUNT_E_PAY,SAMSUNG_PAY,첫 결제 혜택 (5천 원 이하),GALAXY_STORE,ALL,IN_APP,DISCOUNT,100.0,KRW,0,,,FIRST_PURCHASE,TRUE,FALSE,POINT_ONLY,PAYMENT_E_PAY,NEW_OR_RETURNING_USER,NONE,INSTANT_DISCOUNT,FALSE,TRUE,DIRECT_PAY,FALSE,,,,https://www.samsung.com/sec/apps/galaxy-store/,갤럭시 스토어 첫 방문 고객 대상 이벤트 혜택! 웰컴 보너스로 결제 금액 5천 원 이하라면 최종 결제 금액 단 100원,,,,
BNF_EPAY_SAMSUNGPAY_eb6e7100,epay_samsungpay,DISCOUNT_E_PAY,SAMSUNG_PAY,첫 결제 혜택 (5천 원 초과),GALAXY_STORE,ALL,IN_APP,DISCOUNT,5000.0,KRW,5001,5000,,FIRST_PURCHASE,TRUE,FALSE,POINT_ONLY,PAYMENT_E_PAY,NEW_OR_RETURNING_USER,NONE,INSTANT_DISCOUNT,FALSE,TRUE,DIRECT_PAY,FALSE,,,,https://www.samsung.com/sec/apps/galaxy-store/,5천 원을 초과하면 5천 원 할인 혜택을 드립니다.,,,,
BNF_EPAY_SAMSUNGPAY_b5b0518b,epay_samsungpay,REWARD_E_PAY,SAMSUNG_PAY,월간 적립,GALAXY_STORE,ALL,IN_APP,REWARD,1000000.0,KRW,0,1000000,,GENERAL,FALSE,FALSE,POINT_ONLY,PAYMENT_E_PAY,ALL_USERS,NONE,POINT_REWARD,FALSE,TRUE,DIRECT_PAY,FALSE,,,,https://www.samsung.com/sec/apps/galaxy-store/,이벤트 혜택이 풍성한 갤럭시 스토어에서 혜택에 혜택을 더해 포인트가 와르르! 월간 누적 결제 금액에 따라 최대 100만 삼성전자 포인트를 적립하세요.,,,,
BNF_EPAY_SAMSUNGPAY_a27fba17,epay_samsungpay,REWARD_E_PAY,SAMSUNG_PAY,25% 확률로 결제 금액 100% 페이백,GALAXY_STORE,ALL,IN_APP,REWARD,100.0,PERCENT,0,,,GENERAL,FALSE,FALSE,POINT_ONLY,PAYMENT_E_PAY,ALL_USERS,NONE,POINT_REWARD,FALSE,FALSE,DIRECT_PAY,TRUE,,,,https://www.samsung.com/sec/apps/galaxy-store/,갤럭시 스토어에서만 만나볼 수 있는 특별한 이벤트 혜택! 인앱 구매 시 25% 확률로 결제 금액 100%를 삼성전자 포인트로 돌려드립니다. 적립받은 포인트는 다음 결제 시 편리하게 활용하세요.,,,,
